id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.1,90,0,16.019537,0,1611590541,239866,1611590541239,1611590541347,108,0
1,31.1,91,0,17.728937,0,1611590557,779868,1611590557779,1611590557936,157,49
2,31.1,90,0,18.046398,0,1611590574,318865,1611590574318,1611590574422,104,53
3,31.1,90,0,17.582418,0,1611590590,858867,1611590590858,1611590591010,152,48
4,31,90,0,14.920635,0,1611590607,398865,1611590607398,1611590607496,98,54
5,31.1,90,0,16.019537,0,1611590623,938874,1611590623938,1611590624085,147,49
6,31.1,90,0,15.457875,0,1611590640,478864,1611590640478,1611590640572,94,53
7,31.1,90,0,13.431013,0,1611590657,17866,1611590657017,1611590657072,55,39
8,31.1,90,0,13.992674,0,1611590673,557863,1611590673557,1611590673646,89,34
9,31.1,90,0,13.601954,0,1611590690,97865,1611590690097,1611590690236,139,50
10,31.1,90,0,14.603174,0,1611590706,637863,1611590706637,1611590706713,76,63
11,31.1,90,0,13.894994,0,1611590723,177865,1611590723177,1611590723310,133,57
12,31.200001,90,0,14.456655,0,1611590739,716861,1611590739716,1611590739796,80,53
13,31.1,91,0,15.238095,0,1611590756,256864,1611590756256,1611590756385,129,49
14,31.1,90,0,15.238095,0,1611590772,795861,1611590772795,1611590772871,76,53
