id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.1,93,0,10.232,0,1611596264,613729,1611596264613,1611596264739,126,0
1,31.1,93,0,10.4029,0,1611596276,657729,1611596276657,1611596276719,62,64
2,31.2,93,0,10.5495,0,1611596288,701729,1611596288701,1611596288803,102,40
3,31.2,93,0,10.5495,0,1611596300,747728,1611596300747,1611596300886,139,37
4,31.2,93,0,10.6227,0,1611596312,792728,1611596312792,1611596312822,30,109
5,31.2,93,0,10.525,0,1611596324,836728,1611596324836,1611596324950,114,84
6,31.2,93,0,10.5495,0,1611596336,880728,1611596336880,1611596336930,50,64
7,31.3,93,0,10.696,0,1611596348,924728,1611596348924,1611596349012,88,38
8,31.3,92,0,10.5983,0,1611596360,969727,1611596360969,1611596361095,126,38
9,31.3,92,3.3211,10.2076,0,1611596373,12727,1611596373012,1611596373077,65,61
10,31.3,93,0,10.8913,0,1611596385,56727,1611596385056,1611596385160,104,39
11,31.4,93,0,10.8669,0,1611596397,100727,1611596397100,1611596397243,143,39
12,31.4,92,0,11.3309,0,1611596409,146726,1611596409146,1611596409172,26,117
13,31.4,92,0,11.3065,0,1611596421,188726,1611596421188,1611596421307,119,93
14,31.4,92,0,11.3309,0,1611596433,230734,1611596433230,1611596433289,59,60
