id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.4,92,0,10.23199,0,1611597008,125453,1611597008125,1611597008286,161,0
1,31.4,92,0,10.158731,0,1611597025,171453,1611597025171,1611597025359,188,27
2,31.4,91,0,9.93895,0,1611597042,217453,1611597042217,1611597042459,242,54
3,31.4,92,0,9.523809,0,1611597059,262460,1611597059262,1611597059458,196,46
4,31.4,92,0,9.230769,0,1611597076,308452,1611597076308,1611597076559,251,55
5,31.4,92,0,9.523809,0,1611597093,354452,1611597093354,1611597093557,203,48
6,31.4,92,0,9.352869,0,1611597110,399455,1611597110399,1611597110734,335,132
7,31.4,92,0,9.328449,0,1611597127,445451,1611597127445,1611597127656,211,124
8,31.4,92,0,8.986569,0,1611597144,491450,1611597144491,1611597144651,160,51
9,31.4,92,0,8.717949,0,1611597161,536450,1611597161536,1611597161755,219,59
10,31.4,91,0,8.620269,0,1611597178,582450,1611597178582,1611597178754,172,47
11,31.4,91,0,8.424909,0,1611597195,627448,1611597195627,1611597195854,227,55
12,31.4,91,0,7.887668,0,1611597212,672449,1611597212672,1611597212854,182,45
13,31.4,91,0,7.472528,0,1611597229,718448,1611597229718,1611597229954,236,54
14,31.4,91,0,7.301587,0,1611597246,763447,1611597246763,1611597246953,190,46
