id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.3,91,0,16.8,0,1611593212,457963,1611593212457,1611593212548,91,0
1,31.2,91,0,19.27,0,1611593232,4967,1611593232004,1611593232088,84,7
2,31.3,91,0,17.56,0,1611593251,549966,1611593251549,1611593251646,97,13
3,31.3,91,0,17.02,0,1611593271,94966,1611593271094,1611593271204,110,13
4,31.4,91,0,18.02,0,1611593290,640966,1611593290640,1611593290762,122,12
5,31.4,91,0,17.51,0,1611593310,185965,1611593310185,1611593310321,136,14
6,31.3,90,0,16.53,0,1611593329,730965,1611593329730,1611593329879,149,13
7,31.4,89,0,16.04,0,1611593349,276963,1611593349276,1611593349334,58,91
8,31.4,90,0,16.02,0,1611593368,822963,1611593368822,1611593368893,71,13
9,31.4,90,0,15.63,0,1611593388,367963,1611593388367,1611593388451,84,13
10,31.4,90,0,15.6,0,1611593407,913962,1611593407913,1611593408009,96,12
11,31.4,90,0,16.68,0,1611593427,458962,1611593427458,1611593427568,110,14
12,31.4,90,0,17.02,0,1611593447,3962,1611593447003,1611593447125,122,12
13,31.4,90,0,16.9,0,1611593466,549961,1611593466549,1611593466685,136,14
14,31.4,90,0,15.97,0,1611593486,95961,1611593486095,1611593486242,147,11
