id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,7.0085,0,1611255518,621389,1611255518621,1611255518982,361,0
1,30.1,95,0,6.9597,0,1611255530,658384,1611255530658,1611255530799,141,220
2,30.1,95,0,6.6911,0,1611255542,694386,1611255542694,1611255542835,141,0
3,29.9,95,0,6.7155,0,1611255554,729384,1611255554729,1611255554869,140,1
4,30,95,0,6.6422,0,1611255566,765385,1611255566765,1611255566905,140,0
5,30,95,0,6.6422,0,1611255578,800383,1611255578800,1611255578939,139,1
6,30,95,0,6.7155,0,1611255590,836385,1611255590836,1611255590975,139,0
7,30.1,95,0,7.033,0,1611255602,872383,1611255602872,1611255603011,139,0
8,30.1,95,0,7.2772,0,1611255614,908384,1611255614908,1611255615046,138,1
9,30.1,95,0,7.3748,0,1611255626,943382,1611255626943,1611255627084,141,3
10,30.1,95,0,6.8132,0,1611255638,979384,1611255638979,1611255639116,137,4
11,30.1,95,0,6.7643,0,1611255651,14382,1611255651014,1611255651150,136,1
12,30.1,95,0,6.6667,0,1611255663,50383,1611255663050,1611255663186,136,0
13,30.2,95,0,6.7399,0,1611255675,86381,1611255675086,1611255675222,136,0
14,30.1,95,0,6.6422,0,1611255687,122383,1611255687122,1611255687257,135,1
