id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.4,92,0,11.330892,0,1611596615,772458,1611596615772,1611596615994,222,0
1,31.4,92,0,11.184371,0,1611596635,319462,1611596635319,1611596635526,207,15
2,31.4,92,0,11.037851,0,1611596654,865461,1611596654865,1611596655083,218,11
3,31.4,92,0,11.208791,0,1611596674,410461,1611596674410,1611596674642,232,14
4,31.4,92,0,11.111111,0,1611596693,955461,1611596693955,1611596694200,245,13
5,31.4,92,0,10.940171,0,1611596713,501460,1611596713501,1611596713759,258,13
6,31.4,92,0,10.940171,0,1611596733,45460,1611596733045,1611596733317,272,14
7,31.4,92,0,10.769231,0,1611596752,590459,1611596752590,1611596752875,285,13
8,31.4,92,0,10.50061,0,1611596772,135459,1611596772135,1611596772331,196,89
9,31.4,92,0,11.062271,0,1611596791,681459,1611596791681,1611596791889,208,12
10,31.299999,92,0,10.940171,0,1611596811,227457,1611596811227,1611596811447,220,12
11,31.299999,92,0,10.866911,0,1611596830,773457,1611596830773,1611596831007,234,14
12,31.299999,92,0,11.062271,0,1611596850,318457,1611596850318,1611596850564,246,12
13,31.299999,92,0,11.062271,0,1611596869,863456,1611596869863,1611596870122,259,13
14,31.299999,92,0,11.086691,0,1611596889,408461,1611596889408,1611596889680,272,13
