id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.4,92,0,10.23199,0,1611597004,364451,1611597004364,1611597004591,227,0
1,31.4,92,0,10.158731,0,1611597021,410455,1611597021410,1611597021673,263,36
2,31.4,91,0,9.93895,0,1611597038,457455,1611597038457,1611597038669,212,51
3,31.4,92,0,9.523809,0,1611597055,503454,1611597055503,1611597055772,269,57
4,31.4,92,0,9.230769,0,1611597072,548454,1611597072548,1611597072772,224,45
5,31.4,92,0,9.523809,0,1611597089,594454,1611597089594,1611597089768,174,50
6,31.4,92,0,9.352869,0,1611597106,640453,1611597106640,1611597106869,229,55
7,31.4,92,0,9.328449,0,1611597123,685453,1611597123685,1611597123867,182,47
8,31.4,92,0,8.986569,0,1611597140,731453,1611597140731,1611597140890,159,23
9,31.4,92,0,8.717949,0,1611597157,776452,1611597157776,1611597157968,192,33
10,31.4,91,0,8.620269,0,1611597174,822452,1611597174822,1611597175067,245,53
11,31.4,91,0,8.424909,0,1611597191,868452,1611597191868,1611597192065,197,48
12,31.4,91,0,7.887668,0,1611597208,912451,1611597208912,1611597209168,256,59
13,31.4,91,0,7.472528,0,1611597225,958451,1611597225958,1611597226166,208,48
14,31.4,91,0,7.301587,0,1611597243,4450,1611597243004,1611597243265,261,53
