id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,93,0,14.63,0,1611421199,757728,1611421199757,1611421199941,184,0
1,30.4,93,0,14.41,0,1611421214,547726,1611421214547,1611421214977,430,246
2,30.3,92,0,14.11,0,1611421229,336728,1611421229336,1611421229619,283,147
3,30.3,92,0,14.36,0,1611421244,127725,1611421244127,1611421244367,240,43
4,30.3,93,0,14.63,0,1611421258,917727,1611421258917,1611421259213,296,56
5,30.3,94,0,14.36,0,1611421273,706725,1611421273706,1611421273958,252,44
6,30.2,93,0,14.02,0,1611421288,495726,1611421288495,1611421288704,209,43
7,30.2,93,0,13.77,0,1611421303,285724,1611421303285,1611421303552,267,58
8,30.2,93,0,13.89,0,1611421318,75726,1611421318075,1611421318297,222,45
9,30.3,93,0,13.87,0,1611421332,865724,1611421332865,1611421333143,278,56
10,30.3,93,0,14.07,0,1611421347,656724,1611421347656,1611421347890,234,44
11,30.3,93,0,13.8,0,1611421362,446723,1611421362446,1611421362739,293,59
12,30.3,93,0,14.02,0,1611421377,235725,1611421377235,1611421377484,249,44
13,30.4,93,0,13.85,0,1611421392,24721,1611421392024,1611421392229,205,44
14,30.4,93,0,13.82,0,1611421406,813723,1611421406813,1611421407077,264,59
