id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.3,91,0,16.8,0,1611593220,474967,1611593220474,1611593220619,145,0
1,31.2,91,0,19.27,0,1611593240,19967,1611593240019,1611593240176,157,12
2,31.3,91,0,17.56,0,1611593259,564966,1611593259564,1611593259633,69,88
3,31.3,91,0,17.02,0,1611593279,110966,1611593279110,1611593279191,81,12
4,31.4,91,0,18.02,0,1611593298,655964,1611593298655,1611593298749,94,13
5,31.4,91,0,17.51,0,1611593318,200965,1611593318200,1611593318308,108,14
6,31.3,90,0,16.53,0,1611593337,746965,1611593337746,1611593337868,122,14
7,31.4,89,0,16.04,0,1611593357,292963,1611593357292,1611593357424,132,10
8,31.4,90,0,16.02,0,1611593376,837963,1611593376837,1611593376983,146,14
9,31.4,90,0,15.63,0,1611593396,383963,1611593396383,1611593396438,55,91
10,31.4,90,0,15.6,0,1611593415,928962,1611593415928,1611593415996,68,13
11,31.4,90,0,16.68,0,1611593435,473962,1611593435473,1611593435562,89,21
12,31.4,90,0,17.02,0,1611593455,19961,1611593455019,1611593455112,93,4
13,31.4,90,0,16.9,0,1611593474,565961,1611593474565,1611593474671,106,13
14,31.4,90,0,15.97,0,1611593494,111961,1611593494111,1611593494230,119,13
