id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.5,90,0,18,0,1611593601,617534,1611593601617,1611593601763,146,0
1,31.4,90,0,18.02,0,1611593618,663534,1611593618663,1611593618849,186,40
2,31.4,90,0,17.9,0,1611593635,707534,1611593635707,1611593635950,243,57
3,31.4,90,0,17.8,0,1611593652,752533,1611593652752,1611593652948,196,47
4,31.4,90,0,17.53,0,1611593669,798533,1611593669798,1611593669941,143,53
5,31.4,90,0,17.58,0,1611593686,842531,1611593686842,1611593687047,205,62
6,31.4,90,0,17.8,0,1611593703,888531,1611593703888,1611593704044,156,49
7,31.4,90,0,21,0,1611593720,933531,1611593720933,1611593721146,213,57
8,31.4,89,0,22.22,0,1611593737,979530,1611593737979,1611593738144,165,48
9,31.4,89,0,21.83,0,1611593755,25530,1611593755025,1611593755247,222,57
10,31.4,89,0,16.56,0,1611593772,70530,1611593772070,1611593772209,139,83
11,31.3,89,0,17.31,0,1611593789,115529,1611593789115,1611593789344,229,90
12,31.2,90,0,17.14,0,1611593806,161529,1611593806161,1611593806341,180,49
13,31.2,90,0,17.12,0,1611593823,206529,1611593823206,1611593823442,236,56
14,31.2,90,0,17.12,0,1611593840,251528,1611593840251,1611593840440,189,47
