t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
-100,-100,0,0,0,1610401820,475457,1610401820475,1610401820671,196,196
-100,-100,0,0,0,1610401830,43456,1610401830043,1610401830136,93,103
