id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,12.063492,0,1611252083,322169,1611252083322,1611252083541,219,0
1,30.1,95,0,10.72039,0,1611252095,854175,1611252095854,1611252096072,218,1
2,30.1,95,0,10.62271,0,1611252108,386173,1611252108386,1611252108602,216,2
3,30.1,95,0,11.208791,0,1611252120,916174,1611252120916,1611252121132,216,0
4,30,95,0,11.086691,0,1611252133,447172,1611252133447,1611252133662,215,1
5,30.1,95,0,11.697191,0,1611252145,978174,1611252145978,1611252146193,215,0
6,30.1,95,0,11.306471,0,1611252158,509172,1611252158509,1611252158723,214,1
7,30.1,95,0,11.648352,0,1611252171,40173,1611252171040,1611252171253,213,1
8,30,95,0,11.990232,0,1611252183,572171,1611252183572,1611252183785,213,0
9,30,95,0,13.137973,0,1611252196,103173,1611252196103,1611252196316,213,0
10,30.1,95,0,13.064713,0,1611252208,633171,1611252208633,1611252208845,212,1
11,30.1,95,0,12.820513,0,1611252221,164172,1611252221164,1611252221376,212,0
12,30.1,95,0,12.356532,0,1611252233,695170,1611252233695,1611252233907,212,0
13,30.1,95,0,10.549451,0,1611252246,226172,1611252246226,1611252246437,211,1
14,30.1,95,0,10.72039,0,1611252258,758170,1611252258758,1611252258969,211,0
