id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.3,91,0,15.4579,0,1611594624,616788,1611594624616,1611594624714,98,0
1,31.4,91,0,15.5067,0,1611594644,162788,1611594644162,1611594644273,111,13
2,31.4,91,0,15.1893,0,1611594663,707787,1611594663707,1611594663831,124,13
3,31.4,91,0,14.9206,0,1611594683,253787,1611594683253,1611594683389,136,12
4,31.4,91,0,14.8718,0,1611594702,798787,1611594702798,1611594702948,150,14
5,31.4,91,0,14.7741,0,1611594722,343786,1611594722343,1611594722506,163,13
6,31.4,91,0,14.7741,0,1611594742,891784,1611594742891,1611594743000,109,54
7,31.4,91,0,14.3101,0,1611594761,435785,1611594761435,1611594761520,85,24
8,31.5,91,0,14.3834,0,1611594780,980785,1611594780980,1611594781078,98,13
9,31.5,90,0,14.4567,0,1611594800,526785,1611594800526,1611594800636,110,12
10,31.6,90,0,14.2613,0,1611594820,71784,1611594820071,1611594820195,124,14
11,31.6,90,0,14.1392,0,1611594839,617784,1611594839617,1611594839753,136,12
12,31.6,90,0,13.8462,0,1611594859,163783,1611594859163,1611594859312,149,13
13,31.6,90,0,13.8462,0,1611594878,709783,1611594878709,1611594878870,161,12
14,31.6,90,0,14.0171,0,1611594898,254782,1611594898254,1611594898325,71,90
