id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.9,95,0,10.7204,0,1611254911,642718,1611254911642,1611254911784,142,0
1,29.9,95,0,11.5018,0,1611254926,178716,1611254926178,1611254926319,141,1
2,29.9,95,0,11.453,0,1611254940,714718,1611254940714,1611254940854,140,1
3,29.9,95,0,10.5739,0,1611254955,250715,1611254955250,1611254955390,140,0
4,30,95,0,10.6227,0,1611254969,786717,1611254969786,1611254969925,139,1
5,30,95,0,11.453,0,1611254984,322715,1611254984322,1611254984461,139,0
6,30,95,0,11.5263,0,1611254998,857716,1611254998857,1611254998995,138,1
7,30,95,0,11.3553,0,1611255013,393714,1611255013393,1611255013531,138,0
8,29.9,95,0,10.9402,0,1611255027,929727,1611255027929,1611255028068,139,1
9,30.1,95,0,11.1844,0,1611255042,465714,1611255042465,1611255042603,138,1
10,30,95,0,11.0134,0,1611255057,715,1611255057000,1611255057136,136,2
11,30.1,95,0,10.696,0,1611255071,536713,1611255071536,1611255071672,136,0
12,30,95,0,10.7204,0,1611255086,72715,1611255086072,1611255086209,137,1
13,30.1,95,0,10.1099,0,1611255100,607712,1611255100607,1611255100742,135,2
14,30.1,95,0,10.5006,0,1611255115,143714,1611255115143,1611255115276,133,2
