id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.3,91,0,15.4579,0,1611594626,620788,1611594626620,1611594626763,143,0
1,31.4,91,0,15.5067,0,1611594646,166788,1611594646166,1611594646321,155,12
2,31.4,91,0,15.1893,0,1611594665,711787,1611594665711,1611594665880,169,14
3,31.4,91,0,14.9206,0,1611594685,256787,1611594685256,1611594685336,80,89
4,31.4,91,0,14.8718,0,1611594704,802787,1611594704802,1611594704895,93,13
5,31.4,91,0,14.7741,0,1611594724,347786,1611594724347,1611594724452,105,12
6,31.4,91,0,14.7741,0,1611594743,893786,1611594743893,1611594744010,117,12
7,31.4,91,0,14.3101,0,1611594763,439785,1611594763439,1611594763491,52,65
8,31.5,91,0,14.3834,0,1611594782,984785,1611594782984,1611594783126,142,90
9,31.5,90,0,14.4567,0,1611594802,530785,1611594802530,1611594802684,154,12
10,31.6,90,0,14.2613,0,1611594822,75784,1611594822075,1611594822141,66,88
11,31.6,90,0,14.1392,0,1611594841,621784,1611594841621,1611594841700,79,13
12,31.6,90,0,13.8462,0,1611594861,167783,1611594861167,1611594861257,90,11
13,31.6,90,0,13.8462,0,1611594880,713783,1611594880713,1611594880816,103,13
14,31.6,90,0,14.0171,0,1611594900,258783,1611594900258,1611594900374,116,13
