id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.5,91,0,12.8694,0,1611595726,867,1611595726000,1611595726222,222,0
1,31.5,91,0,13.2112,0,1611595740,546867,1611595740546,1611595740762,216,6
2,31.4,92,0,13.7485,0,1611595755,91867,1611595755091,1611595755303,212,4
3,31.4,91,0,14.0659,0,1611595769,637866,1611595769637,1611595769844,207,5
4,31.4,91,0,13.5043,0,1611595784,182866,1611595784182,1611595784385,203,4
5,31.4,91,0,13.6508,0,1611595798,727874,1611595798727,1611595798925,198,5
6,31.4,91,0,13.0647,0,1611595813,273865,1611595813273,1611595813466,193,5
7,31.4,91,0,13.1868,0,1611595827,818865,1611595827818,1611595828006,188,5
8,31.4,91,0,12.9915,0,1611595842,364865,1611595842364,1611595842548,184,4
9,31.4,91,0,13.5775,0,1611595856,909865,1611595856909,1611595857498,589,405
10,31.3,91,0,13.6264,0,1611595871,456864,1611595871456,1611595871629,173,416
11,31.3,92,0,13.6264,0,1611595886,1864,1611595886001,1611595886169,168,5
12,31.3,91,0,13.3578,0,1611595900,548864,1611595900548,1611595900710,162,6
13,31.2,91,0,13.2845,0,1611595915,93863,1611595915093,1611595915251,158,4
14,31.2,92,0,13.0647,0,1611595929,639863,1611595929639,1611595929893,254,96
