id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30,95,0,20.54,0,1611246664,387045,1611246664387,1611246664732,345,0
1,30,95,0,21.05,0,1611246674,415047,1611246674415,1611246674538,123,222
2,30,95,0,21.51,0,1611246684,442049,1611246684442,1611246684562,120,3
3,29.9,95,0,21.88,0,1611246694,469047,1611246694469,1611246694588,119,1
4,30,94,0,21.49,0,1611246704,496048,1611246704496,1611246704615,119,0
5,29.9,94,0,20.83,0,1611246714,523046,1611246714523,1611246714641,118,1
6,30,94,0,19.63,0,1611246724,550048,1611246724550,1611246724669,119,1
7,29.9,94,0,19.9,0,1611246734,577046,1611246734577,1611246734695,118,1
8,29.9,94,0,20.66,0,1611246744,604048,1611246744604,1611246744722,118,0
9,29.9,95,0,20.39,0,1611246754,631045,1611246754631,1611246754748,117,1
10,29.9,95,0,20.27,0,1611246764,658047,1611246764658,1611246764786,128,11
11,30,95,0,20.32,0,1611246774,685045,1611246774685,1611246774802,117,11
12,30,95,0,19,0,1611246784,712047,1611246784712,1611246784830,118,1
13,30,94,0,19.22,0,1611246794,738045,1611246794738,1611246794852,114,4
14,30.1,95,0,19.34,0,1611246804,765046,1611246804765,1611246804881,116,2
