id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,92,0,16.85,0,1611420853,6412,1611420853006,1611420853403,397,0
1,30.4,92,0,17.14,0,1611420869,547414,1611420869547,1611420869789,242,155
2,30.4,93,0,17.26,0,1611420886,87416,1611420886087,1611420886276,189,53
3,30.4,92,0,17.26,0,1611420902,627412,1611420902627,1611420902872,245,56
4,30.4,92,0,16.65,0,1611420919,167415,1611420919167,1611420919349,182,63
5,30.4,92,0,15.8,0,1611420935,706413,1611420935706,1611420935939,233,51
6,30.4,92,0,15.92,0,1611420952,246413,1611420952246,1611420952430,184,49
7,30.4,92,0,15.8,0,1611420968,786411,1611420968786,1611420969013,227,43
8,30.4,92,0,15.78,0,1611420985,326413,1611420985326,1611420985505,179,48
9,30.4,92,0,15.95,0,1611421001,865410,1611421001865,1611421002088,223,44
10,30.4,93,0,16.02,0,1611421018,405412,1611421018405,1611421018678,273,50
11,30.4,93,0,15.65,0,1611421034,945410,1611421034945,1611421035164,219,54
12,30.4,92,0,15.97,0,1611421051,484411,1611421051484,1611421051752,268,49
13,30.4,92,0,14.8,0,1611421068,24409,1611421068024,1611421068239,215,53
14,30.4,92,0,14.07,0,1611421084,563411,1611421084563,1611421084828,265,50
