id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,93,0,14.63,0,1611421202,765728,1611421202765,1611421202996,231,0
1,30.4,93,0,14.41,0,1611421217,555735,1611421217555,1611421217844,289,58
2,30.3,92,0,14.11,0,1611421232,345728,1611421232345,1611421232589,244,45
3,30.3,92,0,14.36,0,1611421247,135725,1611421247135,1611421247334,199,45
4,30.3,93,0,14.63,0,1611421261,925727,1611421261925,1611421262183,258,59
5,30.3,94,0,14.36,0,1611421276,713725,1611421276713,1611421276928,215,43
6,30.2,93,0,14.02,0,1611421291,503726,1611421291503,1611421291776,273,58
7,30.2,93,0,13.77,0,1611421306,293724,1611421306293,1611421306521,228,45
8,30.2,93,0,13.89,0,1611421321,83726,1611421321083,1611421321369,286,58
9,30.3,93,0,13.87,0,1611421335,874723,1611421335874,1611421336115,241,45
10,30.3,93,0,14.07,0,1611421350,664725,1611421350664,1611421350870,206,35
11,30.3,93,0,13.8,0,1611421365,454722,1611421365454,1611421365708,254,48
12,30.3,93,0,14.02,0,1611421380,242725,1611421380242,1611421380453,211,43
13,30.4,93,0,13.85,0,1611421395,32721,1611421395032,1611421395301,269,58
14,30.4,93,0,13.82,0,1611421409,821723,1611421409821,1611421410049,228,41
