id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.5,90,0,18,0,1611593600,865532,1611593600865,1611593601033,168,0
1,31.4,90,0,18.02,0,1611593617,911536,1611593617911,1611593618056,145,23
2,31.4,90,0,17.9,0,1611593634,955536,1611593634955,1611593635130,175,30
3,31.4,90,0,17.8,0,1611593652,535,1611593652000,1611593652231,231,56
4,31.4,90,0,17.53,0,1611593669,46535,1611593669046,1611593669229,183,48
5,31.4,90,0,17.58,0,1611593686,90535,1611593686090,1611593686330,240,57
6,31.4,90,0,17.8,0,1611593703,136533,1611593703136,1611593703279,143,97
7,31.4,90,0,21,0,1611593720,182533,1611593720182,1611593720429,247,104
8,31.4,89,0,22.22,0,1611593737,227532,1611593737227,1611593737427,200,47
9,31.4,89,0,21.83,0,1611593754,273532,1611593754273,1611593754528,255,55
10,31.4,89,0,16.56,0,1611593771,318532,1611593771318,1611593771526,208,47
11,31.3,89,0,17.31,0,1611593788,363531,1611593788363,1611593788524,161,47
12,31.2,90,0,17.14,0,1611593805,409531,1611593805409,1611593805624,215,54
13,31.2,90,0,17.12,0,1611593822,454531,1611593822454,1611593822623,169,46
14,31.2,90,0,17.12,0,1611593839,499530,1611593839499,1611593839726,227,58
