id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.299999,91,0,23.223444,0,1611592943,337021,1611592943337,1611592943525,188,0
1,31.200001,91,0,23.174603,0,1611592954,626023,1611592954626,1611592954689,63,125
2,31.299999,90,0,22.686203,0,1611592965,915025,1611592965915,1611592966056,141,78
3,31.299999,91,0,22.319902,0,1611592977,204023,1611592977204,1611592977356,152,11
4,31.200001,91,0,22.002441,0,1611592988,494024,1611592988494,1611592988525,31,121
5,31.299999,90,0,21.880342,0,1611592999,783022,1611592999783,1611592999846,63,32
6,31.299999,90,0,21.953602,0,1611593011,71024,1611593011071,1611593011129,58,5
7,31.299999,91,0,21.416361,0,1611593022,361022,1611593022361,1611593022476,115,57
8,31.200001,91,0,21.514042,0,1611593033,650023,1611593033650,1611593033740,90,25
9,31.299999,91,0,21.807081,0,1611593044,939021,1611593044939,1611593045005,66,24
10,31.299999,91,0,21.953602,0,1611593056,227023,1611593056227,1611593056371,144,78
11,31.299999,91,0,22.271063,0,1611593067,516021,1611593067516,1611593067635,119,25
12,31.299999,91,0,22.539682,0,1611593078,804023,1611593078804,1611593078899,95,24
13,31.299999,91,0,22.905983,0,1611593090,94020,1611593090094,1611593090163,69,26
14,31.299999,91,0,22.393162,0,1611593101,380022,1611593101380,1611593101426,46,23
