id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.1,90,0,13.6996,0,1611589865,326505,1611589865326,1611589865615,289,0
1,31.1,91,0,13.6752,0,1611589878,365503,1611589878365,1611589878620,255,34
2,31.2,90,0,11.4042,0,1611589891,405505,1611589891405,1611589891726,321,66
3,31.2,90,0.6838,13.895,0,1611589904,445502,1611589904445,1611589904731,286,35
4,31.2,91,0,13.4554,0,1611589917,484513,1611589917484,1611589917736,252,34
5,31.2,91,0,14.4567,0,1611589930,524502,1611589930524,1611589930843,319,67
6,31.2,91,0,14.823,0,1611589943,564504,1611589943564,1611589943792,228,91
7,31.3,90,0,12.381,0,1611589956,604501,1611589956604,1611589956853,249,21
8,31.3,90,0,13.5287,0,1611589969,644503,1611589969644,1611589969959,315,66
9,31.3,91,0,15.1648,0,1611589982,683501,1611589982683,1611589982964,281,34
10,31.2,91,0,15.2381,0,1611589995,723503,1611589995723,1611589995969,246,35
11,31.1,90,0,16.8254,0,1611590008,763500,1611590008763,1611590009075,312,66
12,31.2,91,0,14.9939,0,1611590021,802502,1611590021802,1611590022081,279,33
13,31.2,91,0,16.2393,0,1611590034,841500,1611590034841,1611590035086,245,34
14,31.2,91,0,16.4835,0,1611590047,881502,1611590047881,1611590048194,313,68
