id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,93,0,14.63,0,1611421198,252724,1611421198252,1611421198606,354,0
1,30.4,93,0,14.41,0,1611421213,43726,1611421213043,1611421213339,296,58
2,30.3,92,0,14.11,0,1611421227,832728,1611421227832,1611421228084,252,44
3,30.3,92,0,14.36,0,1611421242,623725,1611421242623,1611421242829,206,46
4,30.3,93,0,14.63,0,1611421257,413727,1611421257413,1611421257677,264,58
6,30.2,93,0,14.02,0,1611421286,991726,1611421286991,1611421287270,279,15
7,30.2,93,0,13.77,0,1611421301,781724,1611421301781,1611421302118,337,58
8,30.2,93,0,13.89,0,1611421316,571726,1611421316571,1611421316863,292,45
9,30.3,93,0,13.87,0,1611421331,361724,1611421331361,1611421331609,248,44
10,30.3,93,0,14.07,0,1611421346,152725,1611421346152,1611421346355,203,45
11,30.3,93,0,13.8,0,1611421360,942722,1611421360942,1611421361202,260,57
12,30.3,93,0,14.02,0,1611421375,732725,1611421375732,1611421375948,216,44
14,30.4,93,0,13.82,0,1611421405,310723,1611421405310,1611421405485,175,41
