id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.6,90,0,15.6288,0,1611595019,295814,1611595019295,1611595019464,169,0
1,31.6,90,0,16.2882,0,1611595036,341814,1611595036341,1611595036422,81,88
2,31.6,90,0,16.1661,0,1611595053,387813,1611595053387,1611595053562,175,94
3,31.6,90,0,16.1416,0,1611595070,433813,1611595070433,1611595070560,127,48
4,31.6,90,0,16.337,0,1611595087,478813,1611595087478,1611595087661,183,56
5,31.6,90,0,16.1416,0,1611595104,523812,1611595104523,1611595104659,136,47
6,31.6,90,0,16.337,0,1611595121,569812,1611595121569,1611595121761,192,56
7,31.6,90,0,16.2882,0,1611595138,615812,1611595138615,1611595138759,144,48
8,31.6,90,0,15.8974,0,1611595155,661811,1611595155661,1611595155757,96,48
9,31.6,90,0,15.6288,0,1611595172,707811,1611595172707,1611595172860,153,57
10,31.6,90,0,15.6532,0,1611595189,752811,1611595189752,1611595189855,103,50
11,31.6,90,0,15.409,0,1611595206,798818,1611595206798,1611595206956,158,55
12,31.6,90,0,15.0916,0,1611595223,843810,1611595223843,1611595223916,73,85
13,31.6,90,0,14.4567,0,1611595240,887810,1611595240887,1611595240986,99,26
14,31.6,90,0,14.2857,0,1611595257,932809,1611595257932,1611595258006,74,25
