id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.1,93,0,10.232,0,1611596264,109729,1611596264109,1611596264227,118,0
1,31.1,93,0,10.4029,0,1611596276,153729,1611596276153,1611596276207,54,64
2,31.2,93,0,10.5495,0,1611596288,198729,1611596288198,1611596288228,30,24
3,31.2,93,0,10.5495,0,1611596300,243728,1611596300243,1611596300275,32,2
4,31.2,93,0,10.6227,0,1611596312,288728,1611596312288,1611596312354,66,34
5,31.2,93,0,10.525,0,1611596324,332728,1611596324332,1611596324438,106,40
6,31.2,93,0,10.5495,0,1611596336,376728,1611596336376,1611596336404,28,78
7,31.3,93,0,10.696,0,1611596348,422728,1611596348422,1611596348450,28,0
8,31.3,92,0,10.5983,0,1611596360,465727,1611596360465,1611596360585,120,92
9,31.3,92,3.3211,10.2076,0,1611596372,508727,1611596372508,1611596372566,58,62
10,31.3,93,0,10.8913,0,1611596384,553727,1611596384553,1611596384580,27,31
11,31.4,93,0,10.8669,0,1611596396,598727,1611596396598,1611596396731,133,106
12,31.4,92,0,11.3309,0,1611596408,642726,1611596408642,1611596408711,69,64
13,31.4,92,0,11.3065,0,1611596420,684726,1611596420684,1611596420795,111,42
14,31.4,92,0,11.3309,0,1611596432,726726,1611596432726,1611596432774,48,63
