id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.9,95,0,10.7204,0,1611254912,644716,1611254912644,1611254912786,142,0
1,29.9,95,0,11.5018,0,1611254927,180718,1611254927180,1611254927321,141,1
2,29.9,95,0,11.453,0,1611254941,716716,1611254941716,1611254941856,140,1
3,29.9,95,0,10.5739,0,1611254956,252717,1611254956252,1611254956392,140,0
4,30,95,0,10.6227,0,1611254970,788721,1611254970788,1611254970929,141,1
5,30,95,0,11.453,0,1611254985,324717,1611254985324,1611254985462,138,3
6,30,95,0,11.5263,0,1611254999,859714,1611254999859,1611254999997,138,0
7,30,95,0,11.3553,0,1611255014,395716,1611255014395,1611255014533,138,0
8,29.9,95,0,10.9402,0,1611255028,931714,1611255028931,1611255029068,137,1
9,30.1,95,0,11.1844,0,1611255043,466716,1611255043466,1611255043602,136,1
10,30,95,0,11.0134,0,1611255058,2713,1611255058002,1611255058138,136,0
11,30.1,95,0,10.696,0,1611255072,538715,1611255072538,1611255072674,136,0
12,30,95,0,10.7204,0,1611255087,74713,1611255087074,1611255087209,135,1
13,30.1,95,0,10.1099,0,1611255101,609714,1611255101609,1611255101744,135,0
14,30.1,95,0,10.5006,0,1611255116,145712,1611255116145,1611255116279,134,1
