id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.1,91,0,18.2906,0,1611590244,300677,1611590244300,1611590244522,222,0
1,31.1,91,0,20.3175,0,1611590255,589675,1611590255589,1611590255811,222,0
2,31.2,91,0,20.293,0,1611590266,877677,1611590266877,1611590267122,245,23
3,31.2,91,0,17.0696,0,1611590278,167675,1611590278167,1611590278488,321,76
4,31.1,91,0,16.2882,0,1611590289,454676,1611590289454,1611590289752,298,23
5,31.1,91,0,17.5824,0,1611590300,744682,1611590300744,1611590300963,219,79
6,31.2,91,0,16.5812,0,1611590312,31684,1611590312031,1611590312280,249,30
7,31.1,90,0,16.3614,0,1611590323,320678,1611590323320,1611590323648,328,79
8,31.1,90,0,15.9707,0,1611590334,608675,1611590334608,1611590334910,302,26
9,31.1,91,0,16.0195,0,1611590345,897673,1611590345897,1611590346115,218,84
10,31.1,91,0,16.2882,0,1611590357,185675,1611590357185,1611590357438,253,35
11,31.1,90,0,17.3382,0,1611590368,473673,1611590368473,1611590368804,331,78
12,31.1,90,0,18.6325,0,1611590379,763675,1611590379763,1611590380070,307,24
13,31.1,91,0,16.801,0,1611590391,52671,1611590391052,1611590391268,216,91
14,31.1,91,0,15.6777,0,1611590402,340682,1611590402340,1611590402596,256,40
