id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,7.47,0,1611254554,445941,1611254554445,1611254554612,167,0
1,30.1,95,0,6.89,0,1611254565,231939,1611254565231,1611254565397,166,1
2,30.1,95,0,13.19,0,1611254576,17941,1611254576017,1611254576181,164,2
3,30.1,95,0,13.19,0,1611254586,802939,1611254586802,1611254586967,165,1
4,30.1,95,0,13.38,0,1611254597,588940,1611254597588,1611254597752,164,1
5,30.1,95,0,11.75,0,1611254608,374938,1611254608374,1611254608537,163,1
6,30.1,95,0,8.89,0,1611254619,159940,1611254619159,1611254619322,163,0
7,30.2,95,0,9.01,0,1611254629,945938,1611254629945,1611254630107,162,1
8,30.2,95,0,9.47,0,1611254640,731939,1611254640731,1611254640893,162,0
9,30.2,95,0,10.77,0,1611254651,517937,1611254651517,1611254651678,161,1
10,30.2,95,0,11.87,0,1611254662,303939,1611254662303,1611254662464,161,0
11,30.1,95,0,11.58,0,1611254673,89937,1611254673089,1611254673250,161,0
12,30.2,95,0,13.46,0,1611254683,874939,1611254683874,1611254684034,160,1
13,30.2,95,0,13.28,0,1611254694,660936,1611254694660,1611254694819,159,1
14,30.1,95,0,13.11,0,1611254705,446938,1611254705446,1611254705621,175,16
