id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,95,0,19.07,0,1611588481,369877,1611588481369,1611588481588,219,0
1,30.4,95,0,19.17,0,1611588494,409875,1611588494409,1611588494696,287,68
2,30.4,95,0,17.97,0,1611588507,449877,1611588507449,1611588507701,252,35
3,30.4,94,0,22.93,0,1611588520,488874,1611588520488,1611588520705,217,35
4,30.4,94,0,20.05,0,1611588533,528876,1611588533528,1611588533812,284,67
5,30.5,95,0,23.08,0,1611588546,568874,1611588546568,1611588546817,249,35
6,30.4,95,0,22.69,0,1611588559,607876,1611588559607,1611588559822,215,34
7,30.4,95,0,23.49,0,1611588572,647873,1611588572647,1611588572929,282,67
8,30.5,95,0,23.37,0,1611588585,687875,1611588585687,1611588585933,246,36
9,30.4,94,0,22.81,0,1611588598,728873,1611588598728,1611588598938,210,36
10,30.4,94,0,23.05,0,1611588611,768875,1611588611768,1611588612045,277,67
11,30.4,94,0,23.03,0,1611588624,807871,1611588624807,1611588625053,246,31
12,30.4,94,0,22.98,0,1611588637,847873,1611588637847,1611588638054,207,39
13,30.4,94,0,22.78,0,1611588650,887871,1611588650887,1611588651163,276,69
14,30.5,93,0,22.15,0,1611588663,926874,1611588663926,1611588664096,170,106
