id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.299999,92,0,8.180708,0,1611597375,623195,1611597375623,1611597375872,249,0
1,31.299999,92,0,8.864469,0,1611597390,170199,1611597390170,1611597390514,344,95
2,31.200001,92,0,7.570208,0,1611597404,716205,1611597404716,1611597405055,339,5
3,31.4,91,0,7.521368,0,1611597419,261198,1611597419261,1611597419603,342,3
4,31.299999,91,0,7.423687,0,1611597433,807198,1611597433807,1611597434136,329,13
5,31.299999,91,0,7.448107,0,1611597448,353198,1611597448353,1611597448584,231,98
6,31.200001,92,0,7.423687,0,1611597462,898197,1611597462898,1611597463219,321,90
7,31.200001,92,0.610504,7.643467,0,1611597477,444197,1611597477444,1611597477759,315,6
8,31.200001,92,0,7.594627,0,1611597491,989197,1611597491989,1611597492300,311,4
9,31.200001,92,0,7.570208,0,1611597506,535197,1611597506535,1611597506840,305,6
10,31.200001,92,0,7.643467,0,1611597521,80195,1611597521080,1611597521388,308,3
11,31.200001,92,0,7.692307,0,1611597535,627195,1611597535627,1611597535922,295,13
12,31.299999,92,0,7.814408,0,1611597550,172195,1611597550172,1611597550463,291,4
13,31.299999,92,0,7.814408,0,1611597564,719194,1611597564719,1611597565001,282,9
14,31.299999,92,0,7.838828,0,1611597579,264194,1611597579264,1611597579544,280,2
