id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.9,92,0,7.521368,0,1611599543,431102,1611599543431,1611599543766,335,0
1,30.9,92,0,7.667888,0,1611599555,475106,1611599555475,1611599555742,267,68
2,31,93,0,7.545787,0,1611599567,518106,1611599567518,1611599567825,307,40
3,31,92,0,7.203907,0,1611599579,563106,1611599579563,1611599579909,346,39
4,31,92,0,7.423687,0,1611599591,608105,1611599591608,1611599591839,231,115
5,31,93,0,7.716728,0,1611599603,650105,1611599603650,1611599603973,323,92
6,31,93,0,6.642247,0,1611599615,693105,1611599615693,1611599615953,260,63
7,31,93,0,7.448107,0,1611599627,737105,1611599627737,1611599627966,229,31
8,31.1,92,0,7.423687,0,1611599639,782103,1611599639782,1611599640120,338,109
9,31.1,92,0,7.277167,0,1611599651,827103,1611599651827,1611599652100,273,65
10,31.1,92,0,7.326007,0,1611599663,871103,1611599663871,1611599664183,312,39
11,31.1,91,0,7.448107,0,1611599675,914104,1611599675914,1611599676163,249,63
12,31.1,92,0,7.301587,0,1611599687,959102,1611599687959,1611599688186,227,22
13,31.1,92,0,7.448107,0,1611599700,3102,1611599700003,1611599700331,328,101
14,31,92,0,7.545787,0,1611599712,47102,1611599712047,1611599712311,264,64
