s,us,chegada,envio,delay_ms,jitter_ms
1617926518,632000,1617926518634,1617926518632,2,0
1617926519,634000,1617926519635,1617926519634,1,1
1617926520,636000,1617926520637,1617926520636,1,0
1617926521,638000,1617926521639,1617926521638,1,0
1617926522,639000,1617926522641,1617926522639,2,1
1617926523,641000,1617926523642,1617926523641,1,1
1617926524,642000,1617926524643,1617926524642,1,0
1617926525,643000,1617926525644,1617926525643,1,0
1617926526,644000,1617926526645,1617926526644,1,0
1617926527,645000,1617926527646,1617926527645,1,0
1617926528,647000,1617926528648,1617926528647,1,0
1617926529,648000,1617926529649,1617926529648,1,0
1617926530,65000,1617926530651,1617926530650,1,0
1617926531,651000,1617926531652,1617926531651,1,0
1617926532,652000,1617926532654,1617926532652,2,1
1617926533,654000,1617926533655,1617926533654,1,1
1617926534,655000,1617926534656,1617926534655,1,0
1617926535,657000,1617926535658,1617926535657,1,0
1617926536,659000,1617926536660,1617926536659,1,0
1617926537,66000,1617926537661,1617926537660,1,0
1617926538,662000,1617926538663,1617926538662,1,0
1617926539,663000,1617926539664,1617926539663,1,0
1617926540,664000,1617926540666,1617926540664,2,1
1617926541,665000,1617926541667,1617926541665,2,0
1617926542,667000,1617926542668,1617926542667,1,1
1617926543,669000,1617926543670,1617926543669,1,0
1617926544,67000,1617926544671,1617926544670,1,0
1617926545,671000,1617926545673,1617926545671,2,1
1617926546,672000,1617926546674,1617926546672,2,0
1617926547,674000,1617926547675,1617926547674,1,1
1617926548,676000,1617926548677,1617926548676,1,0
1617926549,678000,1617926549679,1617926549678,1,0
1617926550,68000,1617926550681,1617926550680,1,0
1617926551,681000,1617926551682,1617926551681,1,0
1617926552,682000,1617926552683,1617926552682,1,0
1617926553,683000,1617926553684,1617926553683,1,0
1617926554,684000,1617926554685,1617926554684,1,0
1617926555,685000,1617926555687,1617926555685,2,1
1617926556,687000,1617926556688,1617926556687,1,1
1617926557,688000,1617926557689,1617926557688,1,0
1617926558,689000,1617926558691,1617926558689,2,1
1617926559,691000,1617926559692,1617926559691,1,1
1617926560,693000,1617926560694,1617926560693,1,0
1617926561,694000,1617926561695,1617926561694,1,0
1617926562,695000,1617926562696,1617926562695,1,0
1617926563,696000,1617926563698,1617926563696,2,1
1617926564,698000,1617926564699,1617926564698,1,1
1617926565,699000,1617926565703,1617926565699,4,3
1617926566,7000,1617926566701,1617926566700,1,3
1617926567,702000,1617926567703,1617926567702,1,0
1617926568,703000,1617926568704,1617926568703,1,0
1617926569,705000,1617926569705,1617926569705,0,1
1617926570,706000,1617926570708,1617926570706,2,2
1617926571,709000,1617926571709,1617926571709,0,2
1617926572,71000,1617926572711,1617926572710,1,1
1617926573,711000,1617926573712,1617926573711,1,0
1617926574,713000,1617926574714,1617926574713,1,0
1617926575,715000,1617926575716,1617926575715,1,0
1617926576,716000,1617926576717,1617926576716,1,0
1617926577,717000,1617926577718,1617926577717,1,0
1617926578,718000,1617926578727,1617926578718,9,8
