s,us,chegada,envio,delay_ms,jitter_ms
1617929044,312000,1617929044313,1617929044312,1,0
1617929045,314000,1617929045315,1617929045314,1,0
1617929046,315000,1617929046316,1617929046315,1,0
1617929047,317000,1617929047318,1617929047317,1,0
1617929048,318000,1617929048319,1617929048318,1,0
1617929049,319000,1617929049320,1617929049319,1,0
1617929050,32000,1617929050321,1617929050320,1,0
1617929051,321000,1617929051323,1617929051321,2,1
1617929052,323000,1617929052324,1617929052323,1,1
1617929053,325000,1617929053326,1617929053325,1,0
1617929054,327000,1617929054328,1617929054327,1,0
1617929055,329000,1617929055330,1617929055329,1,0
1617929056,331000,1617929056332,1617929056331,1,0
1617929057,332000,1617929057333,1617929057332,1,0
1617929058,333000,1617929058335,1617929058333,2,1
1617929059,335000,1617929059336,1617929059335,1,1
1617929060,337000,1617929060338,1617929060337,1,0
1617929061,339000,1617929061340,1617929061339,1,0
1617929062,34000,1617929062341,1617929062340,1,0
1617929063,343000,1617929063345,1617929063343,2,1
1617929064,345000,1617929064346,1617929064345,1,1
1617929065,346000,1617929065348,1617929065346,2,1
1617929066,349000,1617929066350,1617929066349,1,1
1617929067,35000,1617929067352,1617929067350,2,1
1617929068,353000,1617929068354,1617929068353,1,1
1617929069,355000,1617929069356,1617929069355,1,0
1617929070,356000,1617929070357,1617929070356,1,0
1617929071,357000,1617929071358,1617929071357,1,0
1617929072,358000,1617929072359,1617929072358,1,0
1617929073,36000,1617929073361,1617929073360,1,0
1617929074,361000,1617929074362,1617929074361,1,0
1617929075,362000,1617929075364,1617929075362,2,1
1617929076,365000,1617929076366,1617929076365,1,1
1617929077,366000,1617929077367,1617929077366,1,0
1617929078,368000,1617929078369,1617929078368,1,0
1617929079,37000,1617929079371,1617929079370,1,0
1617929080,371000,1617929080372,1617929080371,1,0
1617929081,372000,1617929081373,1617929081372,1,0
1617929082,373000,1617929082374,1617929082373,1,0
1617929083,375000,1617929083376,1617929083375,1,0
1617929084,376000,1617929084377,1617929084376,1,0
1617929085,377000,1617929085378,1617929085377,1,0
1617929086,379000,1617929086379,1617929086379,0,1
1617929087,379000,1617929087380,1617929087379,1,1
1617929088,381000,1617929088381,1617929088381,0,1
1617929089,382000,1617929089383,1617929089382,1,1
1617929090,383000,1617929090386,1617929090383,3,2
1617929091,385000,1617929091385,1617929091385,0,3
1617929092,385000,1617929092386,1617929092385,1,1
1617929093,387000,1617929093388,1617929093387,1,0
1617929094,389000,1617929094390,1617929094389,1,0
1617929095,39000,1617929095391,1617929095390,1,0
1617929096,391000,1617929096392,1617929096391,1,0
1617929097,393000,1617929097394,1617929097393,1,0
1617929098,395000,1617929098396,1617929098395,1,0
1617929099,396000,1617929099397,1617929099396,1,0
1617929100,398000,1617929100399,1617929100398,1,0
1617929101,399000,1617929101400,1617929101399,1,0
1617929102,4000,1617929102401,1617929102400,1,0
1617929103,401000,1617929103402,1617929103401,1,0
1617929104,403000,1617929104404,1617929104403,1,0
